"","region","time_period","strategy_code","difference_variable","difference_value","variable","value"
"1","brazil",0,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"2","brazil",1,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"3","brazil",10,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"4","brazil",11,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"5","brazil",12,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"6","brazil",13,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"7","brazil",14,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"8","brazil",15,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"9","brazil",16,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"10","brazil",17,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"11","brazil",18,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"12","brazil",19,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"13","brazil",2,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"14","brazil",20,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"15","brazil",21,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"16","brazil",22,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"17","brazil",23,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"18","brazil",24,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
